date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:55	59279/59279	---M--	200	added ('OK')	image/png	etag:%22e813028ed7f716e1a82d3e45cf004e6c%22	http://product.hstatic.net/200000281647/product/white_copy_d37bea949dab4575a4318426b7550865_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white_copy_d37bea949dab4575a4318426b7550865_grande.png	(from https://onthecard.vn/)
15:58:58	3829864/3829864	---M--	200	added ('OK')	image/gif	etag:%2229ea7c00e700cf3067de6150f37fe1d8%22	http://theme.hstatic.net/200000281647/1000748372/14/two_banner_right.gif?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/two_banner_right43da.gif	(from https://onthecard.vn/)
15:59:05	54162/54162	---M--	200	added ('OK')	image/png	etag:%22f698ed9ef9eb81dafeec2d3f1dea8db5%22	http://product.hstatic.net/200000281647/product/white2_256d7f7bbc43450d812da8128ae9b8fe_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white2_256d7f7bbc43450d812da8128ae9b8fe_large.png	(from https://onthecard.vn/)
15:59:06	504041/504041	---MCZ	200	added ('OK')	text/html	etag:W/%22ddc9909f81494268a6e159c78c42edc3%22	https://onthecard.vn/products/popon-black-marble	G:/backup/onthecard_v2/onthecard.vn/products/popon-black-marble.html	(from https://onthecard.vn/)
15:59:09	21579/21579	---M--	200	added ('OK')	image/png	etag:%22f0c545a30b8948e4f365b4cf0c9f2d98%22	http://product.hstatic.net/200000281647/product/black_marble_1e0c29faa4384630a6b48fd1dfd47309_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/black_marble_1e0c29faa4384630a6b48fd1dfd47309_medium.png	(from https://onthecard.vn/)
15:59:12	86440/86440	---M--	200	added ('OK')	image/png	etag:%2254d2000663d0fbcce86ab76d2b4691a0%22	http://product.hstatic.net/200000281647/product/white2_256d7f7bbc43450d812da8128ae9b8fe_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white2_256d7f7bbc43450d812da8128ae9b8fe_grande.png	(from https://onthecard.vn/)
15:59:14	14920/14920	---M--	200	added ('OK')	image/png	etag:%22af785c68a2becbdc70990b0ce56ffe32%22	http://product.hstatic.net/200000281647/product/black_marble2_a9e829e33817427bb845c4027cf8fe13_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/black_marble2_a9e829e33817427bb845c4027cf8fe13_medium.png	(from https://onthecard.vn/)
15:59:17	63300/63300	---M--	200	added ('OK')	image/png	etag:%223614dbf28fbeda0385e75c30c2948fd5%22	http://product.hstatic.net/200000281647/product/black_marble_1e0c29faa4384630a6b48fd1dfd47309_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/black_marble_1e0c29faa4384630a6b48fd1dfd47309_large.png	(from https://onthecard.vn/)
15:59:23	89434/89434	---M--	200	added ('OK')	image/png	etag:%229236dc4bd9e2639ae45079e25c75e5c9%22	http://product.hstatic.net/200000281647/product/black_marble_1e0c29faa4384630a6b48fd1dfd47309_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/black_marble_1e0c29faa4384630a6b48fd1dfd47309_grande.png	(from https://onthecard.vn/)
15:59:24	59506/59506	---M--	200	added ('OK')	image/png	etag:%229fa39a0c306fbd3dfcbee17082a1e095%22	http://product.hstatic.net/200000281647/product/black_marble2_a9e829e33817427bb845c4027cf8fe13_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/black_marble2_a9e829e33817427bb845c4027cf8fe13_large.png	(from https://onthecard.vn/)
15:59:30	21974/21974	---M--	200	added ('OK')	image/png	etag:%22cd1960f8c0482bb9d12d41149e5f2fc9%22	http://product.hstatic.net/200000281647/product/white_marble_1fc32c950826487694bf5728b96b1a9f_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white_marble_1fc32c950826487694bf5728b96b1a9f_medium.png	(from https://onthecard.vn/)
